m,L,P,r,T,rho,epsilon,kappa,del_rad,del_ad,del_actual,convective
5.883378379190703e+32,2.0569643743305578e+33,4.143364636477224e+16,14118939229.5642,8834226.526629046,34.70052463366376,0.8698075772294691,2.8942413473308544,0.2713873622903255,0.39955615332769956,0.2713873622903255,0
5.8933333341436674e+32,2.0578286045569577e+33,4.13554271361419e+16,14130390107.18558,8829698.398067184,34.652780245286884,0.8664705314316342,2.8961240791366514,0.27126280485017185,0.39955622470081376,0.27126280485017185,0
5.903288289096631e+32,2.05868951688713e+33,4.127732924659748e+16,14141838190.710798,8825173.139798308,34.60507731317981,0.863145522430449,2.89800664117186,0.2711382225331693,0.39955629566993256,0.2711382225331693,0
5.913243244049595e+32,2.059547123277688e+33,4.119935246372332e+16,14153283508.23239,8820650.745639998,34.557415777072755,0.8598325062872726,2.899889032878313,0.27101361494259335,0.3995563662349737,0.27101361494259335,0
5.923198199002559e+32,2.0604014356470545e+33,4.112149655583714e+16,14164726087.787497,8816131.209436145,34.5097955768699,0.8565314392454335,2.9017712536835325,0.27088898168109204,0.39955643639585037,0.27088898168109204,0
5.933153153955523e+32,2.0612524658754635e+33,4.10437612919899e+16,14176165957.357878,8811614.525056941,34.46221665265094,0.8532422777293998,2.9036533030007416,0.2707643223506657,0.3995565061524711,0.2707643223506657,0
5.943108108908487e+32,2.0621002258049583e+33,4.096614644196596e+16,14187603144.869898,8807100.686398882,34.41467894467284,0.8499649783439642,2.9055351802288283,0.2706396365526457,0.3995565755047395,0.2706396365526457,0
5.953063063861451e+32,2.062944727239393e+33,4.08886517762829e+16,14199037678.194534,8802589.687384771,34.36718239337138,0.8466994978734275,2.907416884752323,0.2705149238876696,0.3995566444525546,0.2705149238876696,0
5.9630180188144146e+32,2.0637859819444322e+33,4.081127706619167e+16,14210469585.147375,8798081.52196371,34.319726939362866,0.8434457932807803,2.9092984159413637,0.27039018395566256,0.3995567129958104,0.27039018395566256,0
5.972972973767379e+32,2.0646240016475506e+33,4.073402208367652e+16,14221898893.488623,8793576.18411111,34.272312523445756,0.8402038217069002,2.9111797731516886,0.27026541635581447,0.3995567811343963,0.27026541635581447,0
5.9829279287203425e+32,2.0654587980380327e+33,4.0656886601455e+16,14233325630.923084,8789073.667828687,34.22493908660232,0.8369735404697467,2.913060955724585,0.2701406206865598,0.3995568488681972,0.2701406206865598,0
5.992882883673307e+32,2.0662903827669738e+33,4.057987039297797e+16,14244749825.100183,8784573.967144456,34.17760657000028,0.833754907063554,2.9149419629868993,0.27001579654555913,0.39955691619709316,0.27001579654555913,0
6.002837838626271e+32,2.0671187674472793e+33,4.050297323242962e+16,14256171503.613953,8780077.07611274,34.13031491499449,0.8305478791580448,2.916822794250989,0.2698909435296788,0.39955698312095894,0.2698909435296788,0
6.0127927935792346e+32,2.067943963653665e+33,4.042619489472744e+16,14267590694.003035,8775582.988814166,34.0830640631286,0.8273524145976139,2.918703448814706,0.26976606123497154,0.3995570496396662,0.26976606123497154,0
6.022747748532199e+32,2.0687659829226573e+33,4.034953515552222e+16,14279007423.750687,8771091.699355666,34.035853956136634,0.8241684714005653,2.920583925961384,0.26964114925665905,0.3995571157530803,0.26964114925665905,0
6.0327027034851625e+32,2.0695848367525918e+33,4.02729937911981e+16,14290421720.284771,8766603.201870471,33.98868453594477,0.8209960077583035,2.9224642249598114,0.26951620718911506,0.3995571814610625,0.26951620718911506,0
6.042657658438127e+32,2.0704005366036155e+33,4.019657057887248e+16,14301833610.97777,8762117.490518123,33.941555744672904,0.8178349820345572,2.9243443450642146,0.26939123462584635,0.39955724676346976,0.26939123462584635,0
6.0526126133910904e+32,2.0712130938976853e+33,4.0120265296396104e+16,14313243123.146765,8757634.559484467,33.89446752463634,0.8146853527646107,2.926224285514232,0.2692662311594764,0.39955731166015446,0.2692662311594764,0
6.062567568344055e+32,2.072022520018568e+33,4.004407772235302e+16,14324650284.05346,8753154.402981646,33.847419818347504,0.8115470786544995,2.928104045534905,0.26914119638173056,0.3995573761509637,0.26914119638173056,0
6.072522523297018e+32,2.072828826311841e+33,3.99680076360606e+16,14336055120.904161,8748677.015248116,33.80041256851754,0.8084201185802606,2.929983624336641,0.2690161298834173,0.3995574402357408,0.2690161298834173,0
6.0824774782499825e+32,2.0736320240848923e+33,3.98920548175695e+16,14347457660.849794,8744202.390548632,33.753445718058,0.8053044315871641,2.9318630211152272,0.26889103125441666,0.3995575039143239,0.26889103125441666,0
6.092432433202946e+32,2.0744321246069195e+33,3.981621904766371e+16,14358857930.985888,8739730.523174252,33.70651921008255,0.802199976888925,2.9337422350517786,0.2687659000836622,0.39955756718654695,0.2687659000836622,0
6.1023873881559104e+32,2.0752291391089312e+33,3.974050010786053e+16,14370255958.352585,8735261.407442344,33.65963298790856,0.7991067138669642,2.9356212653127574,0.26864073595912924,0.3995576300522393,0.26864073595912924,0
6.112342343108875e+32,2.0760230787837456e+33,3.966489778041054e+16,14381651769.93464,8730795.037696576,33.61278699505887,0.7960246020696321,2.937500111049921,0.2685155384678188,0.3995576925112254,0.2685155384678188,0
6.122297298061838e+32,2.0768139547859917e+33,3.95894118482977e+16,14393045392.661419,8726331.40830692,33.56598117526341,0.7929536012114667,2.9393787714003285,0.2683903071957454,0.39955775456332576,0.2683903071957454,0
6.1322522530148025e+32,2.0776017782321086e+33,3.951404209523919e+16,14404436853.406898,8721870.513669655,33.51921547246087,0.7898936711724318,2.9412572454863466,0.26826504172792626,0.39955781620835634,0.26826504172792626,0
6.142207207967766e+32,2.0783865602003456e+33,3.943878830568559e+16,14415826178.989664,8717412.34820736,33.472489830800434,0.7868447719971686,2.9431355324155852,0.26813974164836457,0.39955787744612864,0.26813974164836457,0
6.1521621629207304e+32,2.0791683117307622e+33,3.936365026482074e+16,14427213396.172916,8712956.906368922,33.425804194643355,0.7838068638942485,2.945013631280927,0.2680144065400408,0.39955793827644875,0.2680144065400408,0
6.162117117873694e+32,2.0799470438252284e+33,3.928862775856179e+16,14438598531.664461,8708504.182629533,33.379158508564736,0.7807799072354452,2.946891541160497,0.26788903598489994,0.39955799869911984,0.26788903598489994,0
6.172072072826658e+32,2.0807227674474246e+33,3.9213720573559224e+16,14449981612.116722,8704054.171490684,33.33255271735517,0.7777638625549707,2.948769261117658,0.2677636295638419,0.3995580587139398,0.2677636295638419,0
